,companyId,companyName,companyRating,companyEmployees,companyLocation,companyDescription,companyType
10,company_10,Blibli,4.2,1001 to 5000 employees,Jakarta,"Blibli, established in 2011, is an Indonesian e-commerce focusing in B2B, B2C, dan B2B2C (Business to Business to Consumer) business model. As the biggest trusted online mall, Blibli offers various high-quality products in collaboration with more than 100.000 business partners specializing in primary needs, electronics along with gadget, daily needs, and lifestyle needs. Our fast shipping is supported by BES delivery service along with 15 logistics partner, and 20 warehouses, and 32 hubs all around Indonesia’s largest cities. Our vision is to be the number one e-commerce with the most loyal customers in Indonesia, and we commit to provide the most convenient and satisfying shopping experience with 24/7 Customer Care service, 15 days warranty of product return, and secure payment methods. Let’s see… what does Blibli do? The official business term is an omnichannel ecommerce. In human language, we basically have different channels that are integrated and suit our customers’ needs. This opens different opportunities to explore, which excites us because life is all about opportunities taken, right? #YOLO With any opportunities, we move with agility but not hastily. We take time to calculate, then deliver our actions based on that. Afterall, we always come back to what is important: the customers. Each box we send to all over Indonesia is packed with our cumulative loves and efforts. We hope those transferred well to the receivers, so that we can bring smiles to their faces. Delivering smiles to Indonesian. If that is not a life fulfilled, we don’t know what is!",Information Technology
11,company_11,SAP,4.2,10000+ employees,Jakarta,"We’re a diverse collective of thinkers and doers, continually reimagining what’s possible to help us all do what we love in new ways. And the same innovation that goes into our products also applies to our practices — strengthening our commitment to leave the world better than we found it. This is where your work can make a difference in people’s lives. Including your own. Apple is an equal opportunity employer that is committed to inclusion and diversity. Visit apple.com/careers to learn more.",Information Technology
12,company_12,Apple,4.1,10000+ employees,Jakarta,"Meta is building the future of human connection and the technology that makes it possible. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology.",Information Technology
13,company_13,Meta,4.0,10000+ employees,Jakarta,"Hewlett Packard Enterprise is the global edge-to-cloud company advancing the way people live and work. We help companies connect, protect, analyze, and act on their data and applications wherever they live, from edge to cloud, so they can turn insights into outcomes at the speed required to thrive in today’s complex world. Our culture thrives on finding new and better ways to accelerate what’s next. We know diverse backgrounds are valued and succeed here. We have the flexibility to manage our work and personal needs. We make bold moves, together, and are a force for good. If you are looking to stretch and grow your career our culture will embrace you. Open up opportunities with HPE.",Information Technology
14,company_14,Hewlett Packard Enterprise | HPE,4.1,10000+ employees,Jakarta,"PT Astra International crashed into Indonesia's rickety economy, but luckily, it was wearing its seatbelt. The #1 automaker in Indonesia by assets, PT Astra drives international partnerships for manufacturing autos with Daihatsu and Toyota, motorcycles with Honda, and components with Aisin Seiki and Mahle. PT Astra's network of dealerships in Indonesia sells BMW, Daihatsu, Peugeot, and Toyota cars, and UD Trucks (formerly Nissan Diesel) trucks. Astra also competes in financial services, heavy machinery, agribusiness, information technology, and infrastructure construction sectors.",Information Technology
15,company_15,Astra International,4.5,10000+ employees,Jakarta,"A career at Booking.com is all about the journey, helping you explore new challenges in a place where you can be your best self. With plenty of exciting twists, turns and opportunities along the way. We’ve always been pioneers, on a mission to shape the future of travel through cutting edge technology, to make it easier for everyone to enjoy amazing experiences wherever they go. Under a desert sky, or in the heart of a bustling city. Discovering the perfect hideaway, or the perfect paella. That’s why we’re always looking for people who search for better solutions, the ones eager to stray off the beaten path to find new ways of doing things. Because at Booking.com it’s more than a job, it’s a journey. Get to know us better at careers.booking.com",Information Technology
16,company_16,Booking.com,4.0,10000+ employees,Jakarta,"From day one, HP broke new ground by refusing to accept the status quo. Bill Hewlett and Dave Packard created more than an audio oscillator in their Palo Alto garage. They built a way of doing business—the HP Way. What started in Bill and Dave’s garage still thrives today. We continue to change the world with our products, our people, and our business practices. Reinvention is the key. It is the accelerant to growth. It drives us to create experiences that amaze. Keep reinventing. It’s what we do.",Information Technology
17,company_17,HP Inc.,4.1,10000+ employees,Jakarta,DANA is an Indonesian technology Financial company that provides easy access to payment and financial services for anyone in Indonesia.,Information Technology
18,company_18,DANA,4.2,501 to 1000 employees,Jakarta,"LinkedIn is the world’s largest professional network, built to create economic opportunity for every member of the global workforce. Our products help people make powerful connections, discover exciting opportunities, build necessary skills, and gain valuable insights every day. We’re also committed to providing transformational opportunities for our own employees by investing in their growth. We aspire to create a culture that’s built on trust, care, inclusion, and fun – where everyone can succeed. Join us to transform the way the world works.",Information Technology
19,company_19,LinkedIn,4.0,10000+ employees,Jakarta,"We’re Salesforce, the Customer Company. You could say we've always been the customer company. From the day we opened our doors, focus on our customers drove our every decision. It fueled our growth and powered our customers' success. We develop the technology, the partnerships, and the communities that help companies connect with customers. So that every company can become a customer company.",Information Technology
20,company_20,Xtremax,4.4,51 to 200 employees,Jakarta,"Garena is a leading global online games developer and publisher. Free Fire, its self-developed mobile battle royale title, was the most downloaded mobile game in the world in 2019 and 2020, according to App Annie. Garena is run by passionate gamers and has a unique understanding of what gamers want. It exclusively licenses and publishes hit titles from global partners – such as Arena of Valor, Call of Duty: Mobile, and League of Legends – in selected markets globally. Garena champions social and entertainment experiences through games, enabling its communities to engage and interact. Garena is also a leading esports organiser and hosts some of the world’s biggest esports events. Garena is a part of Sea Limited (NYSE:SE), a leading global consumer internet company. In addition to Garena, Sea’s other core businesses include its e-commerce arm, Shopee, and digital financial services arm, SeaMoney. Sea’s mission is to better the lives of consumers and small businesses with technology.",Information Technology
21,company_21,Salesforce,4.1,10000+ employees,Jakarta,"VMware, a leading provider of multi-cloud services for all apps, was acquired by Broadcom Inc. on November 22, 2023. Broadcom’s successful acquisition of VMware is an important step in the company’s ongoing work to build the world’s leading infrastructure technology company. Well positioned for the future, Broadcom designs, develops, and supplies a broad range of semiconductor, enterprise software, and security solutions. The company’s category-leading product portfolio serves critical markets including cloud, data center, networking, broadband, wireless, storage, industrial, and enterprise software. Learn about the latest career opportunities at Broadcom by visiting: Broadcom.com/company/careers",Information Technology
22,company_22,Garena,4.1,5001 to 10000 employees,Jakarta,"Moka is a technology company based in Jakarta (Indonesia) providing cloud-based Point-of-Sale and payment solutions that empowers small and medium-sized businesses to better sell and grow with 500 employees across Indonesia, Singapore, and India. Moka is currently present across 200+ cities in Indonesia with over 20,000 merchants and to date received more than $30 million in funding from top investors such as Sequoia Capital, SoftBank and East Ventures.",Information Technology
23,company_23,VMware,4.4,10000+ employees,Jakarta,"Imagine working with a company that treats you as a human, not a money-making machine. A company that gives you a career, not just a job. Imagine calling yourself a world-class developer as you work with international clients and improve your English skills. Imagine having exceptional job security, working with a company that has been well-established for over two decades. Imagine leaving work at 5 PM to catch the sunset, kissing the hustle culture goodbye. At Mitrais, work-life balance matters.",Information Technology
24,company_24,Moka (Indonesia),4.2,201 to 500 employees,Jakarta,"Verint helps organizations adapt to the future of work, eliminate the inefficiencies created by organizational and data silos, and consistently deliver differentiated experiences at scale. Our solutions help iconic brands close the gap created when they lack the resources required to deliver experiences that fulfill customer expectations. Closing this Engagement Capacity Gap helps them build lasting relationships with customers and drive real business results.",Information Technology
25,company_25,AGIT,4.2,501 to 1000 employees,Jakarta,"At Esri, we bring meaning to maps. We pioneer problem solving using geographic information systems (GIS) and believe The Science of Where® can transform the world by unlocking data’s full potential in every organization. Our mapping and analytics software, ArcGIS, connects everyone, everywhere through a common visual language—maps—that inspires positive change in industry and society. Using this powerful platform to reveal deeper insight into their data, Esri users—developers, educators, industries, and governments around the globe—are creating the maps that run the world. The Esri culture encourages creativity, conversation, and collaboration. We’re committed to the idea that we can—and must—make the world a better place. Our employees come from all corners of the world, working in small teams to make big ideas happen. We learn from each other and from our customers as we work to build and share solutions to global problems. Join us, and maybe our next big idea will be yours.",Information Technology
26,company_26,Mitrais,4.5,501 to 1000 employees,Jakarta,"At OLX, we build leading marketplace ecosystems enabled by tech, powered by trust, and loved by our customers. Together we're building a more sustainable world through trade. Serving tens of millions of people every month, we help people buy and sell cars, find housing, get jobs, buy and sell household goods, and much more. Our well-loved consumer brands (including OLX, Otomoto, Otodom, Property24, and more) offer safe, smart, and convenient trading platforms and services for our customers. OLX is powered by teams around the world, who are unified in their ambition to help people get more from the world’s limited resources. We are OLX.",Information Technology
27,company_27,Verint,4.0,1001 to 5000 employees,Jakarta,"In the world of automobiles, few acronyms evoke as much awe as BMW. Short for Bayerische Motoren Werke, the company is one of the world's top 10 automakers. BMW's premium lineup includes sedans, coupés, convertibles, and sport wagons in the 1, 3, 5, 6, and 7 Series. Other models include the M3 coupe and convertible, the X5 sport active, and the Z4 roadster. In addition, BMW is known for the automotive MINI and Rolls-Royce brands, as well as its motorcycles K 1200 GT, R 1200 RT, and F 800 S models, among others. Financial services bolster the company's bottom line, as well, with purchase financing and leasing, asset management, dealer financing, and corporate fleets. About 3,000 dealers worldwide sell BMWs.",Information Technology
28,company_28,Esri,4.0,1001 to 5000 employees,Jakarta,"Photon, a global leader in AI and digital solutions, helps clients accelerate AI adoption and embrace Digital HyperExpansion® to ‘make tomorrow happen today’. We work with 40% of the Fortune 100, enabling them to stay agile and future-ready in an era of converging digital and AI boundaries. Powering billions of touchpoints a day, Photon combines AI management, digital innovation, product design thinking, and engineering excellence to drive lasting transformation for F500 clients. We employ several thousand people across dozens of countries. Learn more at www.photon.com",Information Technology
29,company_29,DONE by NONE,4.0,1 to 50 employees,Jakarta,"At Agoda, we bridge the world through travel. We aim to make it easy and rewarding for more travelers to explore and experience the amazing world we live in. We do so by enabling more people to see the world for less – with our best-value deals across our 4,700,000+ hotels and holiday properties, 130,000+ flight routes, 300,000+ activities, and more. Agoda was founded in 2005 in Thailand by two lifelong friends with a shared passion for travel. Today, Agoda is part of Booking Holdings [BKNG], and we have more than 7,000 employees from 90 nationalities in offices across Asia Pacific, the Middle East, Europe, and the Americas. In every department – from engineering to customer support – you’ll find that data and technology are at the heart of our culture. There’s never a boring day at Agoda as we aim to make travel hassle-free for everyone. If you’re ready to begin your best journey with us and help us build travel for the world, join us.",Information Technology
30,company_30,OLX Group,4.0,1001 to 5000 employees,Jakarta,"Headquartered in Shenzhen, China, and founded in 1998, Tencent is an internet-based technology and cultural enterprise. An industry leader and global pioneer of innovative, digital-based technology solutions, Tencent aims to provide platforms and services that connect everything”. Through the company’s two principal business operations, ‘social platforms’ and ‘digital content’, Tencent develops and delivers game-changing products, such as social communication platforms ‘Weixin/WeChat’ and ‘QQ’, that connect people with services, foster closer relationships and create new business opportunities. From comics, videos, games and animation to music, literature, films and news, Tencent offers an incredible array of first-class digital content and multi-media services, providing entertainment and cultural enrichment to over 1 billion users across the globe.",Information Technology
31,company_31,BMW Group,4.1,10000+ employees,Jakarta,"Southeast Asia's #1 Online Grocery Company & Asia's Best Company to Work For in 2019. Headquartered in Jakarta, Indonesia, we have expanded to Malaysia and Thailand and currently operate in many cities in the three countries since 2015. Grocery shopping can be difficult. Looking for a space to park your car, having to go through the isles to find your needs while pushing the trolley, waiting in line at the cashiers, and carrying the heavy bags—these are some activities that take a lot of time when you can spend it doing other things. Built to deliver a simplified life, our mission is to provide an easy grocery shopping experience with a high-quality service. With our trained personal shoppers, customers can shop from anywhere without having to worry about the freshness of their groceries. Every day, our team delivers the #FreshlyHandpicked groceries to thousands of doors to liberate lives!",Information Technology
32,company_32,Photon,4.1,5001 to 10000 employees,Jakarta,"Ever been SuperPoked or had someone write on your Funwall? Thank this company, which has slid its way into the collective consciousness of the Internet generation. Slide develops technology that helps users put photos on the Web and present them through customized slide shows. Although the company provides image hosting, personalization tools, and social networking opportunities through Slide.com, the company's popularity stems from users of third party sites such as MySpace, Facebook, and Bebo, who use Slide applications to insert slide shows, pictures, or video clips onto their own profile pages. Founded by Max Levchin (of PayPal fame), the company was launched in 2005.",Information Technology
33,company_33,Agoda,4.0,5001 to 10000 employees,Jakarta,"We help marketers drive growth with our AI-powered Growth Management Platform Driving growth requires delivering consistent and personalized customer experiences across channels. From bridging the gaps between web, mobile web, app, messaging, email and advertising channels to delivering tailored customer experiences, our AI-powered Growth Management Platform helps marketers drive growth from Acquisition to Activation, Retention, and Revenue. Leverage real-time customer intelligence while driving conversions and lifetime value.",Information Technology
34,company_34,Tencent,4.1,10000+ employees,Jakarta,"Hi, we’re Fiverr. Technology can create opportunities for people, and our development is something we're proud of! Fiverr’s platforms are built with a mix of cutting-edge technologies in a microservices architecture. We're dealing with challenges in search recommendation algorithms, advanced data architecture, big data, and fraud prevention—all while enhancing the UX and aesthetics of our site. Our team is powered by unique minds. We love our team members for who they are and celebrate their diverse backgrounds. Our 'speak up' culture encourages anyone to suggest new ideas, challenge existing ones, and make an impact. Fiverr is headquartered in Tel Aviv, Israel, and has offices in New York, London, and Kyiv. Don't get left behind - come be a part of the future of work by visiting fiverr.com/jobs, reading our tech blog on Medium, and following us on Linkedin.",Information Technology
35,company_35,HappyFresh,4.2,201 to 500 employees,Jakarta,"HashMicro is the leading Smart ERP solutions provider that develops next-generation technologies to innovate how businesses across industries manage their day to day operations. HashMicro has 3 main pillars in our product development; ERP Systems, Artificial Intelligence & Robotics. With state-of-the-art solutions, we are pushing the boundaries of what’s possible in a solution, where we set modern standards for workplace innovation and productivity. Having operations across multiple countries and with years of experience, we have been delivering business solutions to numerous Industries; with products ranging from ERP software, CRM, Warehouse Management, Marketplace Management, HRM, Business Analytics, and many more.",Information Technology
36,company_36,Slide Inc,4.4,51 to 200 employees,Jakarta,Pinhome is the e-commerce platform pioneer for end-to-end property transactions. We help people find their way home!,Information Technology
37,company_37,Insider,4.4,1001 to 5000 employees,Jakarta,"IDstar is a leading global IT consulting firm specializing in Business Transformation Solutions, providing IT Outsourcing and Intelligent Automation services. With a team of over 500+ dedicated Tech Talents, IDstar successfully automated more than 1000+ business processes, assisting over 30+ enterprises in their digital adaptation journey. Trust us to help transform your business and take it to the next level.",Information Technology
38,company_38,Fiverr Inc.,4.3,501 to 1000 employees,Jakarta,"Hostinger is one of the top 3 web hosting brands worldwide. With world-class products and a team of around 900 professionals, we help 3.5 million clients in more than 150 countries achieve their online goals. Our promise, ""We'll Grow Fast,"" embodies growth on multiple levels —our employees, our business, and our clients. At Hostinger, we thrive in a fast-paced environment where self-improvement, innovation and progress go hand in hand.",Information Technology
39,company_39,YES,4.2,51 to 200 employees,Jakarta,"The BukuWarung app helps MSMEs to manage their cash and credit transactions. Merchants receive 3x faster repayments and see increased cash flow due to the automatic payment reminders sent by the app. The app tracks all transactions including credit, expense, and sales, and helps merchants get cash flow visibility through business reports. ● BukuWarung accounting app has been used by several million users ● Payments: With the digitization push accelerated by Covid for MSMEs, we launched send & receive payments in under 1.5 months, becoming the first player in the space to launch and have seen several million USD in adoption. We have 95%+ market share & are the fastest growing payments startup in Indonesia. ● Tokoko (Shopify for MSMEs): With a product-driven focus on empowering MSMEs to come online, we have launched Tokoko, which helps the merchants open their online shop in 3 simple steps. Through our lightweight app, merchants can manage all their orders & catalogs online, and get customers via WhatsApp, Instagram & Facebook",Information Technology
40,company_40,HashMicro,4.3,51 to 200 employees,Jakarta,"YouTube is definitely not your father's method of sharing video footage. The company has amassed a collection of user generated content, thousands of short films and television episodes, and hundreds of full-length movies. Serving more than two billion videos a day, it has become the clear leader in online video sharing. YouTube primarily earns revenue by selling ads on its homepage and search results pages, as well as within its videos. It also charges users to watch certain videos through its YouTube Rentals service. The company was founded in 2005 by Steve Chen (former CTO) and Chad Hurley (former CEO). Today it is a subsidiary of Internet search giant Google.",Information Technology
41,company_41,Pinhome,4.3,201 to 500 employees,Jakarta,"JD.ID has been present in Indonesia since 2015 and has had a commitment and mission to ‘Make Joy Happen’ - by providing reliable, fast, and safe original quality products with competitive prices and aims to become the most trusted and popular e-commerce company in Indonesia. JD.ID business also has rapidly grown to be a larger business ecosystem, synergizing great tech-powered and offline-based solutions. Since 2018, JD.ID has consistently innovated to provide an Omni-channel shopping platform by combining two different business channels; online and offline. Let’s take a leap to success with JOY!",Information Technology
42,company_42,IDStar,4.8,201 to 500 employees,Jakarta,"Thomson Reuters (NYSE / TSX: TRI) informs the way forward by bringing together the trusted content and technology that people and organizations need to make the right decisions. The company serves professionals across legal, tax, accounting, compliance, government, and media. Its products combine highly specialized software and insights to empower professionals with the data, intelligence, and solutions needed to make informed decisions, and to help institutions in their pursuit of justice, truth, and transparency. Reuters, part of Thomson Reuters, is a world leading provider of trusted journalism and news. For more information, visit tr.com.",Information Technology
43,company_43,Hostinger International,4.0,1001 to 5000 employees,Jakarta,"We’re the leader in analytics (pronounced ""sass""). Through our software and services, we inspire customers around the world to transform data into intelligence – and questions into answers. We’re also a debt-free multi-billion-dollar organization on our path to an Initial Public Offering (IPO) in 2024. If you’re looking for a dynamic, fulfilling career coupled with flexibility and world-class employee experience, you’ll find it here. We're continually recognized for our one-of-a-kind workplace culture and enriching work environment that ignites employees’ creativity and gives them the opportunity to change the world. We're considered a best place to work globally among our diverse employee population, including: Women | Gender Equity | IT Professionals | Millennials | Working Parents | Recent Grads | Diversity & Inclusion Read more: www.sas.com/annual-report",Information Technology
44,company_44,BukuWarung,4.1,201 to 500 employees,Jakarta,"Siemens Digital Industries Software is a global leader in the growing field of product lifecycle management (PLM) and electronic design automation (EDA) software, hardware and services. Siemens products are used to manage or create more than 40 percent of the world’s 3D data. Our culture encourages creativity, welcomes fresh thinking and focuses on growth so our people, business and clients can achieve their full potential. Siemens works with more than 100,000 customers in industries ranging from consumer-packaged goods to aerospace and automotive engineering, leading the digitalization of their planning and manufacturing processes.",Information Technology
45,company_45,YouTube,4.4,1001 to 5000 employees,Jakarta,"Red Hat is the world’s leading provider of enterprise open source software solutions and services, using a community-powered approach to deliver reliable and high-performing Linux, hybrid cloud, container, and Kubernetes technologies. Red Hat helps customers develop cloud-native applications, integrate existing and new IT, and automate, secure, and manage complex environments.",Information Technology
46,company_46,PT.Jingdong Indonesia Pertama,4.2,1001 to 5000 employees,Jakarta,"Evermos is a connected commerce platform that empowers local brands and underserved communities by providing a distribution network and commerce services containing products that comply with sharia principles. As a one-stop platform, Evermos provides comprehensive services and a reseller network equipped with various training to support reseller success regardless of gender, educational background, geographic location, or income level.",Information Technology
47,company_47,Thomson Reuters,4.1,10000+ employees,Jakarta,"Deel is the all-in-one HR platform for global teams. It helps companies simplify every aspect of managing an international workforce, from culture and onboarding, to local payroll and compliance. Deel works for independent contractors and full-time employees in more than 150 countries, compliantly. And getting set up takes just a few minutes. The way we work is going global, with businesses hiring people scattered all over the world. But until now, no HR platform has been able to handle everything, for everyone. From different payroll software for every region to multiple HR platforms for their mix of workers, some teams have to use 16 different tools to make it work. Deel's the future of global HR, but it's a platform you can use today. It’s the only platform that works for your team wherever they are, whatever their status. Consolidate international hiring, payroll, and HRIS for contractors, EOR employees and team members hired through your own entities, into one easy-to-use platform. Building a global team is simpler than ever. Hire employees, sponsor visas and run payroll through our Deel-owned entities worldwide. Handle all things global HR in one place with built-in compliant contracts, background checks, equipment, app provisioning and more. Get a one-of-a-kind worldview of data across your global workforce, plus we integrate with any tool so you can customize any workflow and keep data in sync across your tech stack. Founded in 2019 by Alex Bouaziz and Shuo Wang, Deel is a fully distributed company with employees based worldwide. At Deel, we’re guided by our company values that define our culture: Genuine Care: We deeply value our customers and understand the impact of our work Deel Speed: We move fast and build to last Default Optimism: We stay positive and balance our perspectives Thoughtful Frugality: We get more done with less and are careful with our resources Exceed Expectations: We own our work and always overachieve Together Everywhere: We sit anywhere and connect everywhere Learn more about Deel at deel.com",Information Technology
48,company_48,Stealth Startup,4.2,1 to 50 employees,Jakarta,"Netflix is one of the world's leading entertainment services with 270 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.",Information Technology
